date,executionDesc,textModelFeatures,totalExecutionTime,trainInstances,testInstances,min_df,max_df,modelTrained,modelExecutionTime,trainAccuracy,testAccuracy,trainPrecision,testPrecision,trainRecall,testRecall,confusionMatrix,vectorizerFitTime,SMOTE
2018-06-17 14:48,bag_Of_Words,600,127.09,39220,9805,1,1.0,MLP,111.17,0.91,0.7,0.9,0.67,0.91,0.7,"[[ 107    7  121  495]
 [  14    7   40  178]
 [  53    6  732  909]
 [ 308    6  830 5992]]",7.03,
2018-06-17 14:49,bag_Of_Words,138,71.79,39220,9805,0.1,1.0,MLP,57.03,0.84,0.69,0.83,0.64,0.84,0.69,"[[  46    2  100  582]
 [   3    0   34  202]
 [  24    0  658 1018]
 [  84    0 1037 6015]]",6.64,
2018-06-17 14:51,bag_Of_Words,600,138.49,39220,9805,1,0.8,MLP,123.4,0.9,0.72,0.9,0.7,0.9,0.72,"[[ 131    3   98  498]
 [  18    8   24  189]
 [  84    0  707  909]
 [ 400    5  543 6188]]",6.54,
2018-06-17 14:52,bag_Of_Words,138,74.53,39220,9805,0.1,0.8,MLP,59.82,0.85,0.66,0.84,0.65,0.85,0.66,"[[  46    1  149  534]
 [  16    1   43  179]
 [  25    1  750  924]
 [ 130    0 1326 5680]]",6.54,
2018-06-17 14:53,bag_Of_Words,6,55.57,39220,9805,0.25,0.75,MLP,41.17,0.74,0.72,0.63,0.58,0.74,0.72,"[[   0    0    6  724]
 [   0    0    1  238]
 [   0    0   38 1662]
 [   0    0   87 7049]]",6.45,
2018-06-17 14:54,bag_Of_Words,600,66.15,39220,9805,1,1.0,RF,50.92,0.99,0.76,0.99,0.73,0.99,0.76,"[[  90    2   68  570]
 [   5    7   19  208]
 [  21    5  655 1019]
 [  49    1  348 6738]]",6.57,
2018-06-17 14:55,bag_Of_Words,138,32.24,39220,9805,0.1,1.0,RF,16.59,0.95,0.74,0.94,0.7,0.95,0.74,"[[  91    7   69  563]
 [   7    4   23  205]
 [  22    3  609 1066]
 [  24    3  601 6508]]",7.11,
2018-06-17 14:56,bag_Of_Words,600,68.07,39220,9805,1,0.8,RF,51.78,0.99,0.77,0.99,0.74,0.99,0.77,"[[  79    2   65  584]
 [   5    8   18  208]
 [  25    5  621 1049]
 [  32    1  253 6850]]",7.26,
2018-06-17 14:57,bag_Of_Words,138,32.62,39220,9805,0.1,0.8,RF,16.93,0.95,0.73,0.94,0.69,0.95,0.73,"[[  78    7   67  578]
 [   8    5   27  199]
 [  30    4  588 1078]
 [  49    4  586 6497]]",7.14,
2018-06-17 14:57,bag_Of_Words,6,20.15,39220,9805,0.25,0.75,RF,4.3,0.8,0.65,0.79,0.59,0.8,0.65,"[[  17    3   77  633]
 [  11    2   16  210]
 [  27    1  316 1356]
 [ 153    6  919 6058]]",7.36,
2018-06-17 14:59,bag_Of_Words,600,132.46,39220,10935,1,1.0,MLP,115.44,0.91,0.64,0.91,0.69,0.91,0.64,"[[ 224   11  253  356]
 [  29    8   54  114]
 [ 109    4 1302  623]
 [ 425   34 1914 5475]]",7.41,
2018-06-17 15:00,bag_Of_Words,138,74.91,39220,10935,0.1,1.0,MLP,59.7,0.85,0.54,0.84,0.62,0.85,0.54,"[[ 154    0  223  467]
 [  25    0   51  129]
 [  74    1 1148  815]
 [ 596    3 2658 4591]]",6.62,
2018-06-17 15:03,bag_Of_Words,600,143.91,39220,10935,1,0.8,MLP,128.19,0.92,0.71,0.91,0.71,0.92,0.71,"[[ 241    8  195  400]
 [  25   16   44  120]
 [ 112    4 1129  793]
 [ 314   51 1113 6370]]",6.64,
2018-06-17 15:04,bag_Of_Words,138,73.33,39220,10935,0.1,0.8,MLP,58.25,0.85,0.61,0.83,0.61,0.85,0.61,"[[ 133    1  124  586]
 [  32    0   26  147]
 [ 117    2  759 1160]
 [ 547    2 1495 5804]]",6.58,
2018-06-17 15:05,bag_Of_Words,6,58.09,39220,10935,0.25,0.75,MLP,42.97,0.74,0.72,0.65,0.61,0.74,0.72,"[[   5    0    4  835]
 [   1    0    0  204]
 [  23    0   56 1959]
 [  14    0   70 7764]]",6.69,
2018-06-17 15:06,bag_Of_Words,600,63.92,39220,10935,1,1.0,RF,48.1,0.99,0.77,0.99,0.75,0.99,0.77,"[[ 167    3  145  529]
 [  11   10   33  151]
 [  36    0 1151  851]
 [ 115    1  644 7088]]",6.75,
2018-06-17 15:07,bag_Of_Words,138,32.29,39220,10935,0.1,1.0,RF,16.72,0.95,0.69,0.94,0.67,0.95,0.69,"[[ 101    3  133  607]
 [   1    3   18  183]
 [  56    0  825 1157]
 [  36    0 1245 6567]]",7.06,
2018-06-17 15:08,bag_Of_Words,600,64.88,39220,10935,1,0.8,RF,49.07,0.99,0.77,0.99,0.75,0.99,0.77,"[[ 180    2  150  512]
 [  17    3   36  149]
 [  39    0 1137  862]
 [ 135    0  655 7058]]",6.82,
2018-06-17 15:08,bag_Of_Words,138,32.28,39220,10935,0.1,0.8,RF,16.01,0.95,0.67,0.94,0.67,0.95,0.67,"[[  99    2  139  604]
 [   1    3   18  183]
 [  33    0  839 1166]
 [  46    0 1450 6352]]",7.19,
2018-06-17 15:09,bag_Of_Words,6,20.23,39220,10935,0.25,0.75,RF,4.38,0.8,0.62,0.79,0.57,0.8,0.62,"[[  31    4   96  713]
 [  12    0   17  176]
 [  32    6  457 1543]
 [ 199   18 1370 6261]]",7.13,
